solar_ref_id,lat,long,state,postcode
AUS_SOLAR_REF_096,-23.02992213,148.2009804,QLD,4723
AUS_SOLAR_REF_097,-31.387394,152.466916,NSW,2446
AUS_SOLAR_REF_098,-34.061253,137.862942,SA,5552
AUS_SOLAR_REF_099,-20.710799,118.441716,WA,6721
AUS_SOLAR_REF_100,-32.553282,148.989227,NSW,2820
AUS_SOLAR_REF_101,-27.576308,151.852689,QLD,4350
AUS_SOLAR_REF_102,-17.741867,141.185062,QLD,4890
AUS_SOLAR_REF_103,-33.42581736,150.9487827,NSW,2775
AUS_SOLAR_REF_104,-18.773365,122.753792,WA,6725
AUS_SOLAR_REF_105,-33.802932,138.582681,SA,5453
AUS_SOLAR_REF_106,-37.866786,145.350888,VIC,3787
AUS_SOLAR_REF_107,-28.547307,153.432398,NSW,2482
AUS_SOLAR_REF_108,-26.16295046,130.1149452,SA,872
AUS_SOLAR_REF_109,-32.39502,123.744186,WA,6443
AUS_SOLAR_REF_110,-33.032688,119.098339,WA,6355
AUS_SOLAR_REF_111,-30.361305,119.311267,WA,6426
AUS_SOLAR_REF_112,-34.902512,117.158861,WA,6333
AUS_SOLAR_REF_113,-11.33852,142.465399,QLD,4876
AUS_SOLAR_REF_114,-28.228906,150.321016,QLD,4390
AUS_SOLAR_REF_115,-12.71878122,131.0067348,NT,838
AUS_SOLAR_REF_116,-10.487053,105.64067,WA,6798
AUS_SOLAR_REF_117,-36.01137124,147.9646879,NSW,2642
AUS_SOLAR_REF_118,-43.027742,147.848028,TAS,7187
AUS_SOLAR_REF_119,-33.95654968,139.7793619,SA,5320
AUS_SOLAR_REF_120,-33.728945,115.302732,WA,6280
AUS_SOLAR_REF_121,-33.476768,147.811688,NSW,2871
AUS_SOLAR_REF_122,-18.40885569,126.7424652,WA,6770
AUS_SOLAR_REF_123,-34.911523,138.584497,SA,5006
AUS_SOLAR_REF_124,-27.467217,134.430044,SA,5710
AUS_SOLAR_REF_125,-32.708935,150.059088,NSW,2849
AUS_SOLAR_REF_126,-35.803421,137.924659,SA,5222
AUS_SOLAR_REF_127,-37.420588,143.88637,VIC,3363
AUS_SOLAR_REF_128,-24.325475,149.782526,QLD,4702
AUS_SOLAR_REF_129,-27.68492,119.409802,WA,6639
AUS_SOLAR_REF_130,-14.962686,128.397192,WA,6740
AUS_SOLAR_REF_131,-33.100172,136.318517,SA,5641
AUS_SOLAR_REF_132,-30.78247,121.504749,WA,6433
AUS_SOLAR_REF_133,-27.022484,152.858311,QLD,4512
AUS_SOLAR_REF_134,-31.68160313,138.7858802,SA,5434
AUS_SOLAR_REF_135,-22.133456,115.448968,WA,6710
AUS_SOLAR_REF_136,-29.131193,150.307886,NSW,2411
AUS_SOLAR_REF_137,-33.682661,115.888662,WA,6251
AUS_SOLAR_REF_138,-23.446826,151.917285,QLD,4680
AUS_SOLAR_REF_139,-23.329938,140.22124,QLD,4829
AUS_SOLAR_REF_140,-41.015197,148.026137,TAS,7264
AUS_SOLAR_REF_141,-31.651142,117.222062,WA,6407
AUS_SOLAR_REF_142,-36.688551,143.230699,VIC,3477
AUS_SOLAR_REF_143,-37.40606605,147.916566,VIC,3895
AUS_SOLAR_REF_144,-34.257669,144.695233,NSW,2711
AUS_SOLAR_REF_145,-20.465423,148.516317,QLD,4800
AUS_SOLAR_REF_146,-29.427879,138.049515,SA,5733
